ISO,scenario,diff_Y0,diff_Y1,diff_Y2,diff_Y3,diff_Y4,diff_Y5,diff_Y6,diff_Y7,diff_Y8,diff_Y9,diff_Y10,total_person_years_saved,emissions_factor_Y0,total_emissions,emissions_factor_Y1,emissions_Y1,emissions_factor_Y2,emissions_Y2,emissions_factor_Y3,emissions_Y3,emissions_factor_Y4,emissions_Y4,emissions_factor_Y5,emissions_Y5,emissions_factor_Y6,emissions_Y6,emissions_factor_Y7,emissions_Y7,emissions_factor_Y8,emissions_Y8,emissions_factor_Y9,emissions_Y9,emissions_factor_Y10,emissions_Y10
ITA,max_uptake,0.0,14859.270500000002,25857.5245,34177.1817,44014.1473,54563.9053,67559.41029999999,78289.45559999999,91570.4847,104403.01060000001,116252.75189999999,631547.1424,5.178372692912225,3049901.169088163,5.126588965983102,76177.37218785823,5.075323076323271,131235.29079144436,5.0245698455600385,171725.63657604638,4.974324147104438,218940.6357286016,4.924580905633394,268704.36617716873,4.87533509657706,329374.7641396397,4.826581745611289,377870.45727280545,4.778315928155176,437552.70559089986,4.7305327688736245,493881.8628123604,4.683227441184888,544438.0778113386
CAN,mod_uptake,0.0,4166.3946,6894.1586,10928.5374,15945.187699999999,20034.5138,23167.8012,28044.3234,31889.928499999998,35599.8159,39373.0426,216043.7037,14.345359799562331,2888608.912293552,14.201906201566707,59170.74530791404,14.05988713955104,96931.0918381652,13.91928826815553,152117.4624199189,13.780095385473974,219726.20744528636,13.642294431619234,273316.7360539387,13.505871487303041,312901.3456505852,13.37081277243001,374975.3975108778,13.23710464470571,422130.32066668296,13.104733598258653,466526.1035165526,12.973686262276066,510813.50188363035
JPN,max_uptake,0.0,4983.091399999999,9929.707099999998,12330.013900000002,17546.5792,26211.6534,32431.189400000003,44030.7211,57101.092599999996,63204.54250000002,72334.20499999999,340102.79560000007,7.587407788436326,2396331.9190283385,7.511533710551962,37430.659033861564,7.436418373446442,73841.45632138157,7.362054189711978,90774.23049170194,7.288433647814858,127887.07824532832,7.2155493113367095,189131.47763936652,7.143393818223342,231668.7578775904,7.071959880041109,311383.49310847954,7.0012402812406975,399778.4696139751,6.931227878428291,438085.08701930585,6.861915599644008,496351.2096773475
ROU,max_uptake,0.0,13659.299800000003,24519.575699999998,34730.48900000001,45555.27,56939.3799,70046.51729999999,79176.8437,89602.3393,99950.41700000002,114402.07930000001,628582.211,3.7132861816422165,2177312.819209779,3.676153319825794,50213.680306265815,3.6393917866275363,89236.34241417212,3.602997868761261,125133.87784803644,3.566967890073648,162494.18531363536,3.5312982111729116,201069.93038616484,3.4959852290611826,244881.58982797858,3.4610253767705705,274033.0652982971,3.4264151230028648,307014.81043395394,3.392150971772836,339046.90415565023,3.3582294620551076,384188.4332256248
CZE,max_uptake,0.0,4951.3234,9657.3231,14590.606699999998,19486.2814,24253.343,29981.242500000004,34376.769799999995,39462.041,43584.1399,48160.031899999994,268503.1027,8.331411089905579,2085842.0685490235,8.248096979006522,40838.99557762431,8.165616009216457,78857.9921115359,8.083959849124293,117949.87873716389,8.00312025063305,155951.05328187413,7.923089048126719,192161.39630376082,7.843858157645451,235168.61355997153,7.765419576068997,266950.04116693744,7.687765380308306,303374.91263610695,7.610887726505223,331713.9954351966,7.534778849240171,362875.18973885186
GBR,mod_uptake,0.0,7529.969,19836.173700000003,29327.1154,40250.4916,48840.54360000001,55457.9696,64316.9029,71712.14180000001,80603.82759999999,88045.7125,505920.84770000004,4.410782281142323,2082134.431081154,4.3666744583309,32880.92330432347,4.323007713747591,85751.93191633711,4.279777636610115,125513.5326352041,4.236979860244014,170540.52227412086,4.194610061641574,204867.03560060402,4.152663961025158,230298.31170954875,4.111137321414906,264415.61991000857,4.070025948200756,291870.2779270522,4.029325688718749,324779.07315773726,3.989032431831561,351217.2026462174
SAU,mod_uptake,0.0,1565.6743000000001,3337.4252,4737.6849,7780.4254,10223.3234,12001.713899999999,15375.036199999999,17766.3383,20142.508500000004,23658.549,116588.67910000001,18.482585283667365,2004154.1110545953,18.29775943083069,28648.331688434242,18.114781836522383,60456.729393712085,17.933634018157157,84963.9070899495,17.754297677975586,138135.98861288227,17.57675470119583,179692.84763279534,17.400987154183873,208841.66940209002,17.226977282642036,264865.39933719893,17.054707509815614,302999.70322693477,16.884160434717458,340089.3450716602,16.715318830370283,395460.189598938
AUS,mod_uptake,0.0,2600.2871999999998,4590.376200000001,8242.3338,10979.6759,13393.9272,16418.3083,19044.269999999997,21620.8044,24805.2375,27879.4501,149574.67059999998,14.017916406984533,1953923.0226979423,13.877737242914687,36086.102517714346,13.738959870485541,63066.99440223192,13.601570271780686,112108.68238417314,13.46555456906288,147847.4249820746,13.33089902337225,178553.09102959902,13.197590033138528,216682.10198107557,13.065614132807143,248825.08326099504,12.934957991479072,279664.1966559859,12.80560841156428,317646.15798084973,12.677552327448637,353443.1875032431
ESP,max_uptake,0.0,7780.9538,14939.0727,22784.1475,30498.942700000003,37463.3257,48977.9111,57266.90089999999,63567.47209999999,75012.0888,85881.28,444172.09530000004,4.493714412887754,1859121.0005854152,4.448777268758876,34615.730394703,4.4042894960712875,65796.00097365533,4.360246601110575,99344.501696077,4.316644135099469,131653.08213268977,4.2734776937484735,160098.68671258393,4.230742916810989,207212.9504665233,4.188435487642879,239858.7199968879,4.14655113276645,263585.77344335464,4.105085621438786,307931.04716696934,4.064034765224398,349024.5076019708
FRA,max_uptake,0.0,6156.9524,12069.321,19066.7227,27497.105699999996,35146.9681,44466.19189999999,53702.3532,61990.3517,69861.2314,81420.14360000001,411377.3417,4.135860205252538,1583359.2347916493,4.094501603200012,25209.651472626163,4.0535565871680115,48923.67564219521,4.013021021296331,76515.15900232793,3.9728908110833676,109242.99856691808,3.9331619029725338,138238.71593591094,3.8938302839428083,173143.80463183238,3.85489198110338,207016.77071706144,3.816343061292346,236576.44857736718,3.7781796306794226,263948.2814496617,3.7403978343726285,304543.7287957485
