ISO,scenario,diff_Y0,diff_Y1,diff_Y2,diff_Y3,diff_Y4,diff_Y5,diff_Y6,diff_Y7,diff_Y8,diff_Y9,diff_Y10,total_person_years_saved,emissions_factor_Y0,total_emissions,emissions_factor_Y1,emissions_Y1,emissions_factor_Y2,emissions_Y2,emissions_factor_Y3,emissions_Y3,emissions_factor_Y4,emissions_Y4,emissions_factor_Y5,emissions_Y5,emissions_factor_Y6,emissions_Y6,emissions_factor_Y7,emissions_Y7,emissions_factor_Y8,emissions_Y8,emissions_factor_Y9,emissions_Y9,emissions_factor_Y10,emissions_Y10,oecd_nonfood_ghg_t_per_capita,food_add_back_t_per_capita
FIN,mod_uptake,0.0,547.1278111671277,1091.087744847614,1646.672743513314,2214.239550610397,2807.9366544299223,3426.0073256223022,4050.975163773032,4676.369670014331,5310.13707111814,5956.479793763835,31727.03352886001,12.479744600074543,395945.27535817475,12.479744600074543,6828.015346963566,12.479744600074543,13616.496391969522,12.479744600074543,20550.05527895021,12.479744600074543,27633.144075001586,12.479744600074543,35042.3323004732,12.479744600074543,42755.696421750756,12.479744600074543,50555.13542513258,12.479744600074543,58359.89913731372,12.479744600074543,66269.15443894225,12.479744600074543,74335.34654167735,6.021942797468768,6.457801802605776
FRA,max_uptake,0.0,6441.808985584075,12954.836548248712,19469.908850795888,26171.2473575243,33159.58074776012,40350.61975645527,47593.15513168004,54899.73460006993,62223.66154142693,69768.5726747225,373033.12619426777,12.424969555998832,4634925.236342847,12.424969555998832,80039.28053144185,12.424969555998832,160963.44971493122,12.424969555998832,241913.02472921112,12.424969555998832,325176.95165975427,12.424969555998832,412006.7812806045,12.424969555998832,501355.22203964175,12.424969555998832,591343.5035850541,12.424969555998832,682127.5310382847,12.424969555998832,773127.1003150049,12.424969555998832,866872.3914489191,5.102658773992347,7.322310782006485
FRA,mod_uptake,0.0,3559.821433544968,7182.733832868436,10763.332725474367,14419.554029811536,18234.950100592545,22140.789205534245,26062.49778429471,30020.657509596746,33983.86027952788,38063.39380651975,204431.5907077652,12.386032999893391,2532096.4287270787,12.386032999893391,44092.06574961577,12.386032999893391,88965.5782833592,12.386032999893391,133314.994326558,12.386032999893391,178601.07205699143,12.386032999893391,225858.6936973486,12.386032999893391,274236.54574343056,12.386032999893391,322810.95761592267,12.386032999893391,371836.85459236265,12.386032999893391,420925.2148859986,12.386032999893391,471454.45177549135,5.102658773992347,7.283374225901044
GBR,max_uptake,0.0,15099.732281875422,30488.5341667932,46116.687760342,62047.705105026456,78700.99871210913,96104.07201428626,113900.6112470904,131811.54052357495,149963.9061714077,168573.02536585732,892806.8133483627,12.814212492040626,11440616.220587574,12.814212492040626,193491.17803287716,12.814212492040626,390686.5553841289,12.814212492040626,590949.0363901115,12.814212492040626,795092.477859283,12.814212492040626,1008491.320832782,12.814212492040626,1231498.0001414388,12.814212492040626,1459546.635493529,12.814212492040626,1689061.0891723135,12.814212492040626,1921669.3598168609,12.814212492040626,2160130.56746425,6.6628712340181835,6.151341258022443
GBR,mod_uptake,0.0,7951.400088890192,16124.717121422307,24372.562627409,32809.23089514866,41606.76026127728,50844.97224377631,60249.58528316545,69669.11024900342,79226.44127628145,89046.31841231711,471901.0984586912,12.803018969830323,6041758.715450389,12.803018969830323,101801.92617477164,12.803018969830323,206445.0591887176,12.803018969830323,312042.38166209497,12.803018969830323,420057.2055361314,12.803018969830323,532692.1408983155,12.803018969830323,650969.1441575644,12.803018969830323,771376.583304777,12.803018969830323,891974.940129191,12.803018969830323,1014337.6305723795,12.803018969830323,1140061.703826447,6.6628712340181835,6.140147735812139
GRC,max_uptake,0.0,2699.436522525324,5406.255929773047,8155.239382246417,10978.739015220908,13941.355948334254,17037.6933800963,20182.22845193834,23418.749106978805,26716.32624857748,30133.667880706143,158669.691866397,11.587501176104384,1838585.2411139954,11.587501176104384,31279.72387958132,11.587501176104384,62644.99694456648,11.587501176104384,94498.84593319315,11.587501176104384,127216.15125101536,11.587501176104384,161545.47844781302,11.587501176104384,197424.29207997178,11.587501176104384,233861.59592324286,11.587501176104384,271364.7828200104,11.587501176104384,309575.46182658,11.587501176104384,349173.9120080213,5.357993484741385,6.229507691362999
GRC,mod_uptake,0.0,1422.0603174663236,2852.2855226087167,4291.647344771739,5773.662656425725,7329.828582611907,8960.594532481768,10595.556996445452,12252.658691424953,13946.962799563264,15706.493345074736,83131.75078887457,11.557659575234199,960808.4755110195,11.557659575234199,16435.68904472524,11.557659575234199,32965.745081680514,11.557659575234199,49601.39902782952,11.557659575234199,66730.0274852109,11.557659575234199,84715.66350264983,11.557659575234199,103563.50119812912,11.557659575234199,122459.84077490748,11.557659575234199,141612.05804702413,11.557659575234199,161194.24814580753,11.557659575234199,181530.30320305526,5.357993484741385,6.199666090492814
GRL,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
GRL,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
GUY,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
GUY,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
HRV,max_uptake,0.0,1810.3683274552395,3630.264049005629,5468.537525539917,7349.058194821408,9287.315251064538,11253.406467246725,13181.653858678286,15065.798651711524,16930.97811388946,18804.036191460986,102781.4166308737,10.95940440730334,1126423.1104132782,10.95940440730334,19840.55862675533,10.95940440730334,39785.53181834716,10.95940440730334,59931.91425890587,10.95940440730334,80541.30076985447,10.95940440730334,101783.44369453222,10.95940440730334,123330.63243431968,10.95940440730334,144463.07539434588,10.95940440730334,165112.180143112,10.95940440730334,185553.43616131655,10.95940440730334,206081.03711178905,4.92957944749294,6.029824959810401
